POSIÇÃO INICIAL: 50
================================
Movimento: L4      | 50 -> 46 
Movimento: R49     | 46 -> 95 
Movimento: L25     | 95 -> 70 
Movimento: R16     | 70 -> 86 
Movimento: R45     | 86 -> 31 
Movimento: R41     | 31 -> 72 
Movimento: R19     | 72 -> 91 
Movimento: R20     | 91 -> 11 
Movimento: R22     | 11 -> 33 
Movimento: L16     | 33 -> 17 
Movimento: R42     | 17 -> 59 
Movimento: R5      | 59 -> 64 
Movimento: L29     | 64 -> 35 
Movimento: L5      | 35 -> 30 
Movimento: R1      | 30 -> 31 
Movimento: R6      | 31 -> 37 
Movimento: R30     | 37 -> 67 
Movimento: R5      | 67 -> 72 
Movimento: R11     | 72 -> 83 
Movimento: R44     | 83 -> 27 
Movimento: L13     | 27 -> 14 
Movimento: R28     | 14 -> 42 
Movimento: R36     | 42 -> 78 
Movimento: R45     | 78 -> 23 
Movimento: L22     | 23 -> 01 
Movimento: L6      | 01 -> 95 
Movimento: L39     | 95 -> 56 
Movimento: R16     | 56 -> 72 
Movimento: R20     | 72 -> 92 
Movimento: L12     | 92 -> 80 
Movimento: R2      | 80 -> 82 
Movimento: L29     | 82 -> 53 
Movimento: L42     | 53 -> 11 
Movimento: L22     | 11 -> 89 
Movimento: L7      | 89 -> 82 
Movimento: R13     | 82 -> 95 
Movimento: L38     | 95 -> 57 
Movimento: L26     | 57 -> 31 
Movimento: L10     | 31 -> 21 
Movimento: R35     | 21 -> 56 
Movimento: R30     | 56 -> 86 
Movimento: R10     | 86 -> 96 
Movimento: R13     | 96 -> 09 
Movimento: L37     | 09 -> 72 
Movimento: L3      | 72 -> 69 
Movimento: L48     | 69 -> 21 
Movimento: L12     | 21 -> 09 
Movimento: R20     | 09 -> 29 
Movimento: L16     | 29 -> 13 
Movimento: R87     | 13 -> 00 <-- ZERO
Movimento: R82     | 00 -> 82 
Movimento: R18     | 82 -> 00 <-- ZERO
Movimento: L76     | 00 -> 24 
Movimento: L94     | 24 -> 30 
Movimento: R95     | 30 -> 25 
Movimento: L25     | 25 -> 00 <-- ZERO
Movimento: R77     | 00 -> 77 
Movimento: R23     | 77 -> 00 <-- ZERO
Movimento: L28     | 00 -> 72 
Movimento: R28     | 72 -> 00 <-- ZERO
Movimento: L65     | 00 -> 35 
Movimento: R65     | 35 -> 00 <-- ZERO
Movimento: L5      | 00 -> 95 
Movimento: R60     | 95 -> 55 
Movimento: R33     | 55 -> 88 
Movimento: L88     | 88 -> 00 <-- ZERO
Movimento: L67     | 00 -> 33 
Movimento: R96     | 33 -> 29 
Movimento: R71     | 29 -> 00 <-- ZERO
Movimento: L57     | 00 -> 43 
Movimento: L70     | 43 -> 73 
Movimento: L7      | 73 -> 66 
Movimento: R72     | 66 -> 38 
Movimento: L88     | 38 -> 50 
Movimento: L22     | 50 -> 28 
Movimento: R59     | 28 -> 87 
Movimento: L87     | 87 -> 00 <-- ZERO
Movimento: L52     | 00 -> 48 
Movimento: L35     | 48 -> 13 
Movimento: R87     | 13 -> 00 <-- ZERO
Movimento: L61     | 00 -> 39 
Movimento: R83     | 39 -> 22 
Movimento: R82     | 22 -> 04 
Movimento: L57     | 04 -> 47 
Movimento: L19     | 47 -> 28 
Movimento: L28     | 28 -> 00 <-- ZERO
Movimento: L55     | 00 -> 45 
Movimento: R55     | 45 -> 00 <-- ZERO
Movimento: L54     | 00 -> 46 
Movimento: L5      | 46 -> 41 
Movimento: L36     | 41 -> 05 
Movimento: L34     | 05 -> 71 
Movimento: L71     | 71 -> 00 <-- ZERO
Movimento: L21     | 00 -> 79 
Movimento: L1      | 79 -> 78 
Movimento: R22     | 78 -> 00 <-- ZERO
Movimento: R1      | 00 -> 01 
Movimento: L81     | 01 -> 20 
Movimento: R89     | 20 -> 09 
Movimento: L3      | 09 -> 06 
Movimento: R3      | 06 -> 09 
Movimento: R33     | 09 -> 42 
Movimento: R53     | 42 -> 95 
Movimento: L43     | 95 -> 52 
Movimento: R297    | 52 -> 49 
Movimento: R12     | 49 -> 61 
Movimento: L61     | 61 -> 00 <-- ZERO
Movimento: R49     | 00 -> 49 
Movimento: R851    | 49 -> 00 <-- ZERO
Movimento: R22     | 00 -> 22 
Movimento: L22     | 22 -> 00 <-- ZERO
Movimento: R57     | 00 -> 57 
Movimento: R95     | 57 -> 52 
Movimento: R84     | 52 -> 36 
Movimento: L44     | 36 -> 92 
Movimento: R77     | 92 -> 69 
Movimento: L52     | 69 -> 17 
Movimento: R183    | 17 -> 00 <-- ZERO
Movimento: R85     | 00 -> 85 
Movimento: L40     | 85 -> 45 
Movimento: R55     | 45 -> 00 <-- ZERO
Movimento: R85     | 00 -> 85 
